geo,2005_idh,2005_co2,2005
Afghanistan,Baixo,Muito Baixo,Rural
Albania,Médio,Médio,Rural
Algeria,Médio,Elevado,Urbano
Angola,Baixo,Médio,Rural
Antigua and Barbuda,Elevado,Elevado,Rural
Argentina,Elevado,Elevado,Urbano
Armenia,Médio,Médio,Urbano
Australia,Muito Elevado,Muito Elevado,Urbano
Austria,Muito Elevado,Muito Elevado,Urbano
Azerbaijan,Médio,Elevado,Urbano
Bahamas,Elevado,Elevado,Urbano
Bahrain,Muito Elevado,Muito Elevado,Urbano
Bangladesh,Baixo,Muito Baixo,Rural
Barbados,Elevado,Elevado,Rural
Belarus,Elevado,Muito Elevado,Urbano
Belgium,Muito Elevado,Muito Elevado,Urbano
Belize,Médio,Médio,Rural
Benin,Baixo,Muito Baixo,Rural
Bolivia,Médio,Médio,Urbano
Bosnia and Herzegovina,Médio,Elevado,Rural
Botswana,Médio,Elevado,Urbano
Brazil,Médio,Médio,Urbano
Brunei,Muito Elevado,Muito Elevado,Urbano
Bulgaria,Elevado,Muito Elevado,Urbano
Burkina Faso,Baixo,Muito Baixo,Rural
Burundi,Baixo,Muito Baixo,Rural
Cambodia,Baixo,Muito Baixo,Rural
Cameroon,Baixo,Muito Baixo,Rural
Canada,Muito Elevado,Muito Elevado,Urbano
Cape Verde,Médio,Médio,Urbano
Central African Republic,Baixo,Muito Baixo,Rural
Chad,Baixo,Muito Baixo,Rural
Chile,Elevado,Elevado,Urbano
China,Médio,Elevado,Rural
Colombia,Médio,Médio,Urbano
Comoros,Baixo,Muito Baixo,Rural
"Congo, Dem. Rep.",Baixo,Muito Baixo,Rural
"Congo, Rep.",Baixo,Muito Baixo,Urbano
Costa Rica,Elevado,Médio,Urbano
Cote d'Ivoire,Baixo,Muito Baixo,Rural
Croatia,Elevado,Elevado,Urbano
Cuba,Elevado,Elevado,Urbano
Cyprus,Muito Elevado,Muito Elevado,Urbano
Czech Republic,Muito Elevado,Muito Elevado,Urbano
Denmark,Muito Elevado,Muito Elevado,Urbano
Djibouti,Baixo,Baixo,Urbano
Dominica,Elevado,Médio,Urbano
Dominican Republic,Médio,Elevado,Urbano
Ecuador,Médio,Elevado,Urbano
Egypt,Médio,Elevado,Rural
El Salvador,Médio,Médio,Urbano
Equatorial Guinea,Médio,Muito Elevado,Rural
Eritrea,Baixo,Muito Baixo,Rural
Estonia,Muito Elevado,Muito Elevado,Urbano
Ethiopia,Baixo,Muito Baixo,Rural
Fiji,Médio,Médio,Rural
Finland,Muito Elevado,Muito Elevado,Urbano
France,Muito Elevado,Muito Elevado,Urbano
Gabon,Médio,Elevado,Urbano
Gambia,Baixo,Muito Baixo,Urbano
Georgia,Elevado,Médio,Urbano
Germany,Muito Elevado,Muito Elevado,Urbano
Ghana,Baixo,Muito Baixo,Rural
Greece,Muito Elevado,Muito Elevado,Urbano
Guatemala,Médio,Médio,Rural
Guinea,Baixo,Muito Baixo,Rural
Guinea-Bissau,Baixo,Muito Baixo,Rural
Guyana,Médio,Médio,Rural
Haiti,Baixo,Muito Baixo,Rural
Honduras,Médio,Médio,Rural
Hungary,Muito Elevado,Elevado,Urbano
Iceland,Muito Elevado,Muito Elevado,Urbano
India,Baixo,Médio,Rural
Indonesia,Médio,Médio,Rural
Iran,Médio,Muito Elevado,Urbano
Iraq,Médio,Elevado,Urbano
Ireland,Muito Elevado,Muito Elevado,Urbano
Israel,Muito Elevado,Muito Elevado,Urbano
Italy,Muito Elevado,Muito Elevado,Urbano
Jamaica,Elevado,Elevado,Urbano
Japan,Muito Elevado,Muito Elevado,Urbano
Jordan,Elevado,Elevado,Urbano
Kazakhstan,Elevado,Muito Elevado,Urbano
Kenya,Baixo,Muito Baixo,Rural
Kiribati,Médio,Baixo,Rural
Kuwait,Elevado,Muito Elevado,Urbano
Kyrgyz Republic,Médio,Médio,Rural
Lao,Baixo,Muito Baixo,Rural
Latvia,Muito Elevado,Elevado,Urbano
Lebanon,Elevado,Elevado,Urbano
Lesotho,Baixo,Médio,Rural
Liberia,Baixo,Muito Baixo,Rural
Libya,Elevado,Muito Elevado,Urbano
Lithuania,Muito Elevado,Elevado,Urbano
Luxembourg,Muito Elevado,Muito Elevado,Urbano
"Macedonia, FYR",Elevado,Elevado,Urbano
Madagascar,Baixo,Muito Baixo,Rural
Malawi,Baixo,Muito Baixo,Rural
Malaysia,Elevado,Muito Elevado,Urbano
Maldives,Médio,Médio,Rural
Mali,Baixo,Muito Baixo,Rural
Malta,Muito Elevado,Muito Elevado,Urbano
Mauritania,Baixo,Baixo,Urbano
Mauritius,Elevado,Elevado,Rural
Mexico,Elevado,Elevado,Urbano
"Micronesia, Fed. Sts.",Médio,Médio,Rural
Moldova,Médio,Médio,Rural
Mongolia,Médio,Elevado,Urbano
Montenegro,Elevado,Elevado,Urbano
Morocco,Médio,Médio,Urbano
Mozambique,Baixo,Muito Baixo,Rural
Myanmar,Baixo,Muito Baixo,Rural
Namibia,Médio,Médio,Rural
Nepal,Baixo,Muito Baixo,Rural
Netherlands,Muito Elevado,Muito Elevado,Urbano
New Zealand,Muito Elevado,Muito Elevado,Urbano
Nicaragua,Médio,Médio,Urbano
Niger,Baixo,Muito Baixo,Rural
Nigeria,Baixo,Baixo,Rural
Norway,Muito Elevado,Muito Elevado,Urbano
Oman,Elevado,Muito Elevado,Urbano
Pakistan,Baixo,Médio,Rural
Palau,Elevado,Muito Elevado,Urbano
Palestine,Médio,Baixo,Urbano
Panama,Elevado,Elevado,Urbano
Papua New Guinea,Baixo,Baixo,Rural
Paraguay,Médio,Baixo,Urbano
Peru,Médio,Médio,Urbano
Philippines,Médio,Médio,Rural
Poland,Muito Elevado,Muito Elevado,Urbano
Portugal,Elevado,Muito Elevado,Urbano
Qatar,Muito Elevado,Muito Elevado,Urbano
Romania,Elevado,Elevado,Urbano
Russia,Elevado,Muito Elevado,Urbano
Rwanda,Baixo,Muito Baixo,Rural
Samoa,Médio,Médio,Rural
Sao Tome and Principe,Baixo,Muito Baixo,Urbano
Saudi Arabia,Elevado,Muito Elevado,Urbano
Senegal,Baixo,Baixo,Rural
Serbia,Elevado,Elevado,Urbano
Seychelles,Elevado,Muito Elevado,Urbano
Sierra Leone,Baixo,Muito Baixo,Rural
Singapore,Muito Elevado,Muito Elevado,Urbano
Slovak Republic,Elevado,Muito Elevado,Urbano
Slovenia,Muito Elevado,Muito Elevado,Urbano
Solomon Islands,Baixo,Muito Baixo,Rural
South Africa,Médio,Muito Elevado,Urbano
South Korea,Muito Elevado,Muito Elevado,Urbano
Spain,Muito Elevado,Muito Elevado,Urbano
Sri Lanka,Elevado,Baixo,Rural
St. Lucia,Médio,Elevado,Rural
St. Vincent and the Grenadines,Médio,Elevado,Rural
Sudan,Baixo,Muito Baixo,Rural
Suriname,Médio,Elevado,Urbano
Swaziland,Baixo,Médio,Rural
Sweden,Muito Elevado,Elevado,Urbano
Switzerland,Muito Elevado,Elevado,Urbano
Syria,Médio,Elevado,Urbano
Tajikistan,Médio,Muito Baixo,Rural
Tanzania,Baixo,Muito Baixo,Rural
Thailand,Médio,Elevado,Rural
Timor-Leste,Baixo,Muito Baixo,Rural
Togo,Baixo,Muito Baixo,Rural
Tonga,Médio,Médio,Rural
Trinidad and Tobago,Elevado,Muito Elevado,Rural
Tunisia,Médio,Elevado,Urbano
Turkey,Médio,Elevado,Urbano
Uganda,Baixo,Muito Baixo,Rural
Ukraine,Elevado,Muito Elevado,Urbano
United Arab Emirates,Muito Elevado,Muito Elevado,Urbano
United Kingdom,Muito Elevado,Muito Elevado,Urbano
United States,Muito Elevado,Muito Elevado,Urbano
Uruguay,Elevado,Médio,Urbano
Uzbekistan,Médio,Elevado,Rural
Vanuatu,Médio,Muito Baixo,Rural
Venezuela,Elevado,Muito Elevado,Urbano
Vietnam,Médio,Médio,Rural
Yemen,Baixo,Médio,Rural
Zambia,Baixo,Muito Baixo,Rural
Zimbabwe,Baixo,Médio,Rural
